,NC_004337.2,NC_007606.1,NC_008618.1,NC_009614.1,NC_009615.1,NC_011740.1,NC_013165.1,NC_013198.1,NC_013204.1,NC_013520.1,NC_013716.1,NC_013717.1,NC_014839.1,NC_014933.1,NC_015160.1,NC_015164.1,NC_015678.1,NC_015738.1,NC_021021.1,NC_022567.1,NC_022582.1,NC_022584.1,NZ_AAVN02000001.1,NZ_AAVN02000002.1,NZ_AAVN02000003.1,NZ_AAVN02000004.1,NZ_AAVN02000005.1,NZ_AAVN02000006.1,NZ_AAVN02000007.1,NZ_AAVN02000008.1,NZ_AAVN02000009.1,NZ_AAVN02000010.1,NZ_AAVN02000011.1,NZ_AAVN02000012.1,NZ_AAVN02000013.1,NZ_AAVN02000014.1,NZ_AAVN02000015.1,NZ_AAVN02000016.1,NZ_AAVN02000017.1,NZ_AAVN02000018.1,NZ_AAVN02000019.1,NZ_AAVN02000020.1,NZ_ACFY01000149.1,NZ_ADEG01000016.1,NZ_AEJV01000028.1,NZ_AEJW01000234.1,NZ_AEJW01000306.1,NZ_AEJW01000341.1,NZ_AEJW01000343.1,NZ_AEJX01000004.1,NZ_AEJX01000041.1,NZ_AEJX01000100.1,NZ_AEJX01000143.1,NZ_AEJX01000146.1,NZ_AEJX01000158.1,NZ_AEJX01000202.1,NZ_AEJX01000220.1,NZ_AEJX01000226.1,NZ_AEJX01000247.1,NZ_AEJZ01000006.1,NZ_AEJZ01000065.1,NZ_AEJZ01000267.1,NZ_AEJZ01000296.1,NZ_AEJZ01000356.1,NZ_AEKA01000013.1,NZ_AEKA01000038.1,NZ_AEKA01000047.1,NZ_AEKA01000058.1,NZ_AEKA01000104.1,NZ_AEKA01000125.1,NZ_AEKA01000151.1,NZ_AEKA01000152.1,NZ_AEKA01000248.1,NZ_AEKA01000410.1,NZ_AEME01000001.1,NZ_AFQU01000001.1,NZ_AMJQ01000014.1,NZ_AMJQ01000113.1,NZ_AMJQ01000162.1,NZ_AMJQ01000163.1,NZ_AMJQ01000192.1,NZ_AMJQ01000268.1,NZ_AMJQ01000285.1,NZ_AMJQ01000541.1,NZ_AMJQ01000543.1,NZ_AMJQ01000561.1,NZ_AP012322.1,NZ_AP012324.1,NZ_AP012325.1,NZ_AP012327.1,NZ_AP012330.1,NZ_AP012331.1,NZ_AUFI01000008.1,NZ_AUFI01000011.1,NZ_AUGK01000003.1,NZ_AWUO01000006.1,NZ_AWUO01000011.1,NZ_AWXC01000007.1,NZ_AYLZ02000068.1,NZ_AZFM01000002.1,NZ_AZMV01000001.1,NZ_AZMV01000007.1,NZ_AZYA01000029.1,NZ_AZYA01000037.1,NZ_AZYA01000045.1,NZ_AZYW01000048.1,NZ_BAFF01000004.1,NZ_BAIB02000016.1,NZ_BAIE02000003.1,NZ_BAIE02000011.1,NZ_BAJR01000036.1,NZ_BAKK01000058.1,NZ_BAKK01000087.1,NZ_BAKK01000101.1,NZ_BAKL01000003.1,NZ_BAKL01000064.1,NZ_BBNB01000009.1,NZ_BBZV01000019.1,NZ_BCFK01000010.1,NZ_BCFK01000017.1,NZ_BCFK01000044.1,NZ_BCFK01000069.1,NZ_BDIS01000001.1,NZ_BDIS01000019.1,NZ_BEWG01000050.1,NZ_BEWZ01000002.1,NZ_BEWZ01000054.1,NZ_CAEM01000067.1,NZ_CAEM01000077.1,NZ_CDJG01000010.1,NZ_CDJG01000011.1,NZ_CDJG01000012.1,NZ_CDPR01000255.1,NZ_CP007034.1,NZ_CP007557.1,NZ_CP009709.1,NZ_CP009866.1,NZ_CP009913.1,NZ_CP011531.1,NZ_CP012098.1,NZ_CP012801.1,NZ_CP012937.1,NZ_CP012938.1,NZ_CP014768.1,NZ_CP015401.2,NZ_CP016019.1,NZ_CP018757.1,NZ_CP018937.1,NZ_CP020431.1,NZ_CP021329.1,NZ_CP022120.1,NZ_CP022412.2,NZ_CP022754.1,NZ_CP024282.1,NZ_CP024885.1,NZ_CYUC01000002.1,NZ_CYUC01000007.1,NZ_CYUC01000053.1,NZ_CYXV01000001.1,NZ_CYXV01000008.1,NZ_CYZH01000002.1,NZ_CYZH01000006.1,NZ_CYZH01000017.1,NZ_CYZH01000022.1,NZ_CZAG01000001.1,NZ_CZAG01000007.1,NZ_DS362248.1,NZ_DS362249.1,NZ_DS483527.1,NZ_DS499579.1,NZ_DS499580.1,NZ_DS499673.1,NZ_DS547001.1,NZ_DS547006.1,NZ_DS547010.1,NZ_DS547015.1,NZ_DS547020.1,NZ_DS547023.1,NZ_DS547026.1,NZ_DS547027.1,NZ_DS547028.1,NZ_DS547029.1,NZ_DS990173.1,NZ_DS995339.4,NZ_DS995474.1,NZ_DS995479.1,NZ_EQ973355.1,NZ_EQ973356.1,NZ_EQ973357.1,NZ_EQ973358.1,NZ_EQ973362.1,NZ_EQ973363.1,NZ_EQ973369.1,NZ_EQ973370.1,NZ_EQ973378.1,NZ_EQ973379.1,NZ_EQ973635.1,NZ_EQ973639.1,NZ_EQ973643.1,NZ_FBWL01000029.1,NZ_FBWL01000032.1,NZ_FBWL01000046.1,NZ_FBWL01000056.1,NZ_FBWL01000062.1,NZ_FBWL01000078.1,NZ_FBWL01000099.1,NZ_FBWL01000100.1,NZ_FBWL01000140.1,NZ_FBWN01000005.1,NZ_FBWN01000037.1,NZ_FBWN01000049.1,NZ_FBWN01000053.1,NZ_FBWN01000059.1,NZ_FBWN01000062.1,NZ_FBWN01000064.1,NZ_FBWN01000076.1,NZ_FBWN01000090.1,NZ_FBWN01000091.1,NZ_FBWN01000092.1,NZ_FBWN01000123.1,NZ_FBWN01000124.1,NZ_FBWN01000126.1,NZ_FBWN01000137.1,NZ_FBWN01000144.1,NZ_FBWN01000145.1,NZ_FBWN01000149.1,NZ_FBWN01000155.1,NZ_FBWN01000160.1,NZ_FBWN01000169.1,NZ_FBWN01000178.1,NZ_FBWN01000180.1,NZ_FBWN01000199.1,NZ_FBWN01000200.1,NZ_FBWN01000203.1,NZ_FBWN01000205.1,NZ_FBWN01000207.1,NZ_FBWN01000228.1,NZ_FBWN01000233.1,NZ_FBWN01000247.1,NZ_FBWN01000264.1,NZ_FBWN01000274.1,NZ_FBWN01000283.1,NZ_FBWN01000291.1,NZ_FBWN01000292.1,NZ_FBWN01000293.1,NZ_FBWN01000303.1,NZ_FBWN01000304.1,NZ_FBWO01000009.1,NZ_FBWO01000052.1,NZ_FBWO01000104.1,NZ_FBWO01000157.1,NZ_FBWO01000159.1,NZ_FBWO01000171.1,NZ_FBWO01000247.1,NZ_FBWO01000262.1,NZ_FCNT01000090.1,NZ_FCOT01000008.1,NZ_FMBL01000002.1,NZ_FNNN01000002.1,NZ_FNNN01000004.1,NZ_FNNN01000005.1,NZ_FNNN01000008.1,NZ_FNNN01000013.1,NZ_FNNN01000019.1,NZ_FNNN01000021.1,NZ_FNNN01000042.1,NZ_FNNN01000068.1,NZ_FNVV01000009.1,NZ_FNVV01000012.1,NZ_FNVV01000013.1,NZ_FNVX01000004.1,NZ_FNWC01000006.1,NZ_FOBY01000005.1,NZ_FOBY01000008.1,NZ_FOBY01000020.1,NZ_FONU01000016.1,NZ_FOUM01000040.1,NZ_FQLR01000002.1,NZ_FQLR01000004.1,NZ_FQXY01000007.1,NZ_FQXY01000008.1,NZ_FQXY01000009.1,NZ_FQXY01000010.1,NZ_FQXY01000011.1,NZ_FUGH01000019.1,NZ_FUGH01000094.1,NZ_FUGH01000162.1,NZ_FUGH01000260.1,NZ_FUYF01000018.1,NZ_FUYQ01000006.1,NZ_GG662007.1,NZ_GG692710.1,NZ_GG692711.1,NZ_GG698738.1,NZ_GG698741.1,NZ_GG698742.1,NZ_GG698745.1,NZ_GG698753.1,NZ_GG703858.1,NZ_GG705149.1,NZ_GG705150.1,NZ_GG705151.1,NZ_GG705153.1,NZ_GG705154.1,NZ_GG705158.1,NZ_GG705209.1,NZ_GG705213.1,NZ_GG705230.1,NZ_GG705237.1,NZ_GG705242.1,NZ_GG730107.1,NZ_GG730108.1,NZ_GG770199.1,NZ_GG770200.1,NZ_GG770201.1,NZ_GG770216.1,NZ_GG770217.1,NZ_GG774759.1,NZ_GG774760.1,NZ_GG774761.1,NZ_GG774762.1,NZ_GG774763.1,NZ_GG774765.1,NZ_GG774766.1,NZ_GG774767.1,NZ_GG774815.1,NZ_GG774949.1,NZ_GG774950.1,NZ_GG774952.1,NZ_GG774954.1,NZ_GG774955.1,NZ_GG774969.1,NZ_GG774970.1,NZ_GG774972.1,NZ_GG774974.1,NZ_GG774984.1,NZ_GG774987.1,NZ_GG774997.1,NZ_GG774999.1,NZ_GG775001.1,NZ_GG775004.1,NZ_GG775005.1,NZ_GG775012.1,NZ_GG775015.1,NZ_GL622403.1,NZ_GL622405.1,NZ_GL622407.1,NZ_GL622413.1,NZ_GL622415.1,NZ_GL622421.1,NZ_GL622422.1,NZ_GL622424.1,NZ_GL622500.1,NZ_GL622508.1,NZ_GL622509.1,NZ_GL622541.1,NZ_GL622542.1,NZ_GL622625.1,NZ_GL622626.1,NZ_GL622627.1,NZ_GL622628.1,NZ_GL622629.1,NZ_GL622630.1,NZ_GL622631.1,NZ_GL622632.1,NZ_GL622633.1,NZ_GL622634.1,NZ_GL622635.1,NZ_GL622636.1,NZ_GL622637.1,NZ_GL622638.1,NZ_GL622639.1,NZ_GL622640.1,NZ_GL622641.1,NZ_GL622642.1,NZ_GL622643.1,NZ_GL622644.1,NZ_GL622645.1,NZ_GL622646.1,NZ_GL622647.1,NZ_GL622648.1,NZ_GL622649.1,NZ_GL622650.1,NZ_GL622653.1,NZ_GL622656.1,NZ_GL622657.1,NZ_GL622659.1,NZ_GL622662.1,NZ_GL622663.1,NZ_GL635655.1,NZ_GL635656.1,NZ_GL635662.1,NZ_GL635671.1,NZ_GL635673.1,NZ_GL635696.1,NZ_GL636091.1,NZ_GL698449.1,NZ_GL698450.1,NZ_GL732463.1,NZ_GL882608.1,NZ_GL882646.1,NZ_GL883887.1,NZ_GL945090.1,NZ_GL945094.1,NZ_GL945113.1,NZ_GL945333.1,NZ_GL945334.1,NZ_GL945335.1,NZ_GL945336.1,NZ_GL945337.1,NZ_GL945338.1,NZ_GL945339.1,NZ_GL945340.1,NZ_GL945341.1,NZ_GL945343.1,NZ_GL945344.1,NZ_GL945347.1,NZ_GL945348.1,NZ_GL945349.1,NZ_GL945355.1,NZ_GL945360.1,NZ_HE611014.1,NZ_HE611015.1,NZ_HE611016.1,NZ_HE611019.1,NZ_HG726020.1,NZ_HG726026.1,NZ_JAEW01000013.1,NZ_JAGH01000001.1,NZ_JAGH01000002.1,NZ_JAGH01000005.1,NZ_JAGQ01000002.1,NZ_JAGQ01000004.1,NZ_JALW01000060.1,NZ_JANI01000029.1,NZ_JAQB01000008.1,NZ_JDFG01000042.1,NZ_JGYN01000002.1,NZ_JGYN01000004.1,NZ_JGYN01000005.1,NZ_JGYN01000008.1,NZ_JGYN01000013.1,NZ_JGYP01000005.1,NZ_JGYS01000003.1,NZ_JGYS01000007.1,NZ_JGYX01000004.1,NZ_JGYX01000007.1,NZ_JGZC01000005.1,NZ_JGZC01000006.1,NZ_JGZC01000010.1,NZ_JGZC01000015.1,NZ_JGZD01000006.1,NZ_JGZJ01000010.1,NZ_JGZK01000001.1,NZ_JGZK01000005.1,NZ_JGZK01000008.1,NZ_JGZK01000009.1,NZ_JGZK01000013.1,NZ_JGZK01000017.1,NZ_JGZK01000019.1,NZ_JGZK01000020.1,NZ_JGZK01000021.1,NZ_JGZK01000024.1,NZ_JGZM01000001.1,NZ_JGZM01000006.1,NZ_JGZN01000004.1,NZ_JGZN01000008.1,NZ_JGZN01000013.1,NZ_JGZN01000016.1,NZ_JGZN01000017.1,NZ_JGZN01000024.1,NZ_JGZP01000012.1,NZ_JGZP01000014.1,NZ_JGZP01000016.1,NZ_JGZR01000019.1,NZ_JGZU01000016.1,NZ_JGZV01000005.1,NZ_JH114352.1,NZ_JH114353.1,NZ_JH126468.1,NZ_JH126470.1,NZ_JH126471.1,NZ_JH126472.1,NZ_JH376577.1,NZ_JH414855.1,NZ_JH414870.1,NZ_JH470425.1,NZ_JH591187.1,NZ_JH599901.1,NZ_JH636017.1,NZ_JH636019.1,NZ_JH636020.1,NZ_JH636022.1,NZ_JH636026.1,NZ_JH636027.1,NZ_JH636037.1,NZ_JH636038.1,NZ_JH636045.1,NZ_JH660539.1,NZ_JH660541.1,NZ_JH724314.1,NZ_JH724315.1,NZ_JH815198.1,NZ_JH815199.1,NZ_JH815205.1,NZ_JH815209.1,NZ_JH815273.1,NZ_JH976465.1,NZ_JH992941.1,NZ_JH992951.1,NZ_JHWO01000002.1,NZ_JHWQ01000002.1,NZ_JHWQ01000004.1,NZ_JHWQ01000011.1,NZ_JHWQ01000018.1,NZ_JHWQ01000024.1,NZ_JMLH01000011.1,NZ_JNWN01000074.1,NZ_JNWO01000032.1,NZ_JNWO01000070.1,NZ_JNWQ01000001.1,NZ_JNWQ01000131.1,NZ_JNWT01000316.1,NZ_JNWU01000003.1,NZ_JNXE01000058.1,NZ_JNXF01000324.1,NZ_JOAW01000208.1,NZ_JOAW01000313.1,NZ_JOAW01000758.1,NZ_JOAW01000775.1,NZ_JOAW01000830.1,NZ_JOAW01001492.1,NZ_JOBE01000019.1,NZ_JOBE01000030.1,NZ_JOBE01000034.1,NZ_JOBE01000086.1,NZ_JODM01000045.1,NZ_JODT01000051.1,NZ_JOEM01000045.1,NZ_JOEQ01000222.1,NZ_JOFH01000129.1,NZ_JOFY01000992.1,NZ_JOHQ01000125.1,NZ_JOIB01000050.1,NZ_JOIB01000082.1,NZ_JOIG01000005.1,NZ_JOIO01000114.1,NZ_JOIU01000039.1,NZ_JOIX01000145.1,NZ_JOJH01000597.1,NZ_JRMM01000024.1,NZ_JVKU01000013.1,NZ_JWAK01000044.1,NZ_KB373314.1,NZ_KB373315.1,NZ_KB373316.1,NZ_KB661120.1,NZ_KB822501.1,NZ_KB822502.1,NZ_KB822571.1,NZ_KB894130.1,NZ_KB894555.1,NZ_KB905466.1,NZ_KB905472.1,NZ_KB905473.1,NZ_KB905474.1,NZ_KB905487.1,NZ_KB905490.1,NZ_KE136722.1,NZ_KE136726.1,NZ_KE137316.1,NZ_KE150436.1,NZ_KE159494.1,NZ_KE159496.1,NZ_KE159497.1,NZ_KE159498.1,NZ_KE159504.1,NZ_KE159509.1,NZ_KE159512.1,NZ_KE159646.1,NZ_KE386488.1,NZ_KE952933.1,NZ_KN214134.1,NZ_KN214135.1,NZ_KN214136.1,NZ_KN214137.1,NZ_KN214138.1,NZ_KN214139.1,NZ_KN214141.1,NZ_KN214146.1,NZ_KN214147.1,NZ_KN214148.1,NZ_KN714368.1,NZ_KQ033902.1,NZ_KQ033912.1,NZ_KQ033914.1,NZ_KQ033919.1,NZ_KQ033920.1,NZ_KQ235739.1,NZ_KQ235741.1,NZ_KQ235745.1,NZ_KQ235746.1,NZ_KQ235749.1,NZ_KQ235761.1,NZ_KQ236102.1,NZ_KQ236103.1,NZ_KQ236104.1,NZ_KQ236106.1,NZ_KQ236107.1,NZ_KQ236109.1,NZ_KQ236110.1,NZ_KQ236113.1,NZ_KQ236114.1,NZ_KQ236118.1,NZ_KQ236955.1,NZ_KQ236956.1,NZ_KQ960741.1,NZ_KQ968681.1,NZ_KQ968734.1,NZ_KQ968743.1,NZ_KV441384.1,NZ_KV794079.1,NZ_KV794093.1,NZ_KV794098.1,NZ_KV794401.1,NZ_KV794411.1,NZ_KV794416.1,NZ_KV794434.1,NZ_KV804268.1,NZ_KV804305.1,NZ_KV804345.1,NZ_KV804346.1,NZ_KV804357.1,NZ_KV804369.1,NZ_KV804437.1,NZ_KV804450.1,NZ_KV804451.1,NZ_KV804469.1,NZ_KV806042.1,NZ_KV806047.1,NZ_KV806050.1,NZ_KV806051.1,NZ_KV806052.1,NZ_KV806057.1,NZ_KV806059.1,NZ_KV806064.1,NZ_KV806066.1,NZ_KV806079.1,NZ_KV806090.1,NZ_KV806092.1,NZ_KV806093.1,NZ_KV806099.1,NZ_KV806112.1,NZ_KV806123.1,NZ_KV806124.1,NZ_KV806128.1,NZ_KV806129.1,NZ_KV806137.1,NZ_KV806138.1,NZ_KV806139.1,NZ_KV806140.1,NZ_KV806145.1,NZ_KV806148.1,NZ_KV806150.1,NZ_KV806154.1,NZ_KV806155.1,NZ_KV806156.1,NZ_KV806160.1,NZ_KV806163.1,NZ_KV806165.1,NZ_KV806168.1,NZ_KV806175.1,NZ_KV806177.1,NZ_KV806182.1,NZ_KV806183.1,NZ_KV806184.1,NZ_KV806185.1,NZ_KV806186.1,NZ_KV806188.1,NZ_KV806190.1,NZ_KV806191.1,NZ_KV806193.1,NZ_KV806197.1,NZ_KV806198.1,NZ_KV806200.1,NZ_KV806202.1,NZ_KV806205.1,NZ_KV806206.1,NZ_KV806207.1,NZ_KV806208.1,NZ_KV807482.1,NZ_KV807489.1,NZ_KV807494.1,NZ_KV810649.1,NZ_KV811485.1,NZ_KV811502.1,NZ_KV812035.1,NZ_KV812797.1,NZ_KV812853.1,NZ_KV812857.1,NZ_KV813661.1,NZ_KV813675.1,NZ_KV818846.1,NZ_KV818847.1,NZ_KV818849.1,NZ_KV819960.1,NZ_KV819980.1,NZ_KV820004.1,NZ_KV820022.1,NZ_KV820026.1,NZ_KV820029.1,NZ_KV820047.1,NZ_KV820052.1,NZ_KV832051.1,NZ_KV834640.1,NZ_KV841556.1,NZ_LATB01000108.1,NZ_LATB01000227.1,NZ_LATC01000221.1,NZ_LFHY01000004.1,NZ_LFHY01000005.1,NZ_LFHY01000008.1,NZ_LFHY01000012.1,NZ_LFHY01000014.1,NZ_LFHY01000015.1,NZ_LFIO01000801.1,NZ_LFQU01000001.1,NZ_LHUP01000246.1,NZ_LIFT01000034.1,NZ_LIFV01000017.1,NZ_LLXO01000037.1,NZ_LN609286.1,NZ_LN877940.1,NZ_LN908984.1,NZ_LN908986.1,NZ_LNHC01000010.1,NZ_LNHC01000073.1,NZ_LRBF01000262.1,NZ_LSIW01000101.1,NZ_LSIW01000172.1,NZ_LSJH01000869.1,NZ_LT594621.1,NZ_LT635470.1,NZ_LT635539.1,NZ_LT635783.1,NZ_LT635839.1,NZ_LT669941.1,NZ_LT670820.1,NZ_LT671417.1,NZ_LT671675.1,NZ_LT699735.1,NZ_LT699738.1,NZ_LT699739.1,NZ_LT699740.1,NZ_LT699743.1,NZ_LT700190.1,NZ_LT707006.1,NZ_LT707059.1,NZ_LT732540.1,NZ_LT838843.1,NZ_LT900217.1,NZ_LT906474.1,NZ_LT960488.1,NZ_LT960490.1,NZ_LT962680.1,NZ_LXKL01000026.1,NZ_LXKM01000023.1,NZ_LXKM01000029.1,NZ_LZSD01000116.1,NZ_LZSM01000006.1,NZ_LZSQ01000033.1,NZ_LZST01000178.1,NZ_LZSU01000039.1,NZ_LZSU01000040.1,NZ_LZSZ01000039.1,NZ_LZSZ01000101.1,NZ_LZTA01000059.1,NZ_LZTB01000055.1,NZ_LZTB01000073.1,NZ_LZTB01000095.1,NZ_LZTD01000039.1,NZ_LZTD01000042.1,NZ_LZTD01000046.1,NZ_LZTD01000064.1,NZ_LZTD01000089.1,NZ_LZTD01000095.1,NZ_LZTD01000107.1,NZ_LZTD01000117.1,NZ_LZTD01000143.1,NZ_LZTD01000146.1,NZ_LZTE01000022.1,NZ_LZTE01000025.1,NZ_MBEJ01000083.1,NZ_MDGU01000004.1,NZ_MDGU01000026.1,NZ_MDGU01000029.1,NZ_MDGU01000037.1,NZ_MDGU01000041.1,NZ_MDGU01000046.1,NZ_MJIQ01000008.1,NZ_MJIQ01000027.1,NZ_MJIQ01000029.1,NZ_MJIQ01000033.1,NZ_MJIQ01000036.1,NZ_MJIQ01000038.1,NZ_MJIQ01000042.1,NZ_MJIQ01000044.1,NZ_MJIQ01000046.1,NZ_MJIQ01000054.1,NZ_MJIQ01000068.1,NZ_MJIQ01000070.1,NZ_MJIQ01000075.1,NZ_MJIQ01000089.1,NZ_MJIQ01000100.1,NZ_MJIQ01000101.1,NZ_MJIQ01000103.1,NZ_MJIQ01000104.1,NZ_MJIQ01000105.1,NZ_MJIQ01000107.1,NZ_MJIQ01000111.1,NZ_MJIQ01000113.1,NZ_MJIR01000044.1,NZ_MJIR01000046.1,NZ_MJIR01000084.1,NZ_MLQM01000173.1,NZ_MQVI01000025.1,NZ_MRAQ01000030.1,NZ_MSJS02000003.1,NZ_MSJS02000007.1,NZ_MSJS02000008.1,NZ_MSJS02000018.1,NZ_MSJS02000060.1,NZ_MSJS02000091.1,NZ_MSJS02000113.1,NZ_MSJS02000169.1,NZ_MVOG01000050.1,NZ_MWWR01000004.1,NZ_MWWU01000002.1,NZ_MWWV01000001.1,NZ_MWWV01000019.1,NZ_MWWW01000001.1,NZ_MWWW01000004.1,NZ_MWWW01000008.1,NZ_MWWW01000012.1,NZ_MWWW01000013.1,NZ_MWWW01000017.1,NZ_MWWY01000024.1,NZ_MWWZ01000002.1,NZ_MWZC01000851.1,NZ_NASW01000090.1,NZ_NBNS01000782.1,NZ_NEWD01000004.1,NZ_NEWD01000007.1,NZ_NEWD01000022.1,NZ_NEWD01000031.1,NZ_NFHP01000007.1,NZ_NFHT01000012.1,NZ_NFIA01000003.1,NZ_NFIC01000001.1,NZ_NFIC01000004.1,NZ_NFIN01000030.1,NZ_NFIP01000003.1,NZ_NFIP01000005.1,NZ_NFJA01000127.1,NZ_NFJA01000146.1,NZ_NFJF01000005.1,NZ_NFJR01000003.1,NZ_NFJR01000005.1,NZ_NFJR01000010.1,NZ_NFJV01000055.1,NZ_NFJW01000001.1,NZ_NFLM01000014.1,NZ_NFLR01000017.1,NZ_NGLG01000002.1,NZ_NJNP01000001.1,NZ_NJNP01000002.1,NZ_NJNP01000003.1,NZ_NJNP01000006.1,NZ_NJNQ01000001.1,NZ_NJNQ01000002.1,NZ_NJNQ01000003.1,NZ_NJNQ01000004.1,NZ_NJNQ01000006.1,NZ_NJNQ01000007.1,NZ_NJNQ01000008.1,NZ_NJNQ01000009.1,NZ_NJNQ01000010.1,NZ_NJNQ01000011.1,NZ_NKXR01000001.1,NZ_NKXR01000002.1,NZ_NKXR01000003.1,NZ_NKXR01000004.1,NZ_NKXR01000005.1,NZ_NKXR01000006.1,NZ_NKXR01000007.1,NZ_NKXR01000008.1,NZ_NKXR01000009.1,NZ_NKXR01000010.1,NZ_NKXR01000011.1,NZ_NKXR01000012.1,NZ_NKXR01000013.1,NZ_NKXR01000014.1,NZ_NKXR01000015.1,NZ_NKXR01000016.1,NZ_NKXR01000017.1,NZ_NKXR01000018.1,NZ_NKXR01000019.1,NZ_NKXR01000020.1,NZ_NKXR01000021.1,NZ_NKXR01000022.1,NZ_NKXR01000024.1,NZ_NKXR01000025.1,NZ_NKXR01000026.1,NZ_NKXR01000027.1,NZ_NKXR01000028.1,NZ_NKXR01000029.1,NZ_NKXR01000031.1,NZ_NKXR01000035.1,NZ_NKXR01000040.1,NZ_NMWT01000003.1,NZ_NMWT01000036.1,NZ_NMWT01000039.1,NZ_NMWU01000005.1,NZ_NMWV01000003.1,NZ_NMWV01000005.1,NZ_NMWV01000011.1,NZ_NMWV01000021.1,NZ_NMWV01000023.1,NZ_NMWV01000027.1,NZ_NMWV01000032.1,NZ_NPJM01000040.1,NZ_NQMG01000002.1,NZ_NQMG01000008.1,NZ_NQMG01000011.1,NZ_NQMG01000013.1,NZ_NQMG01000017.1,NZ_NQMG01000028.1,NZ_NQMH01000001.1,NZ_NQMH01000002.1,NZ_NSCC01000109.1,NZ_NTGX01000030.1,NZ_NVQF01000004.1,NZ_OBMS01000010.1,NZ_OEPW01000001.1,NZ_OEST01000002.1,NZ_PEBI01000001.1,NZ_PEBJ01000001.1,NZ_PEBJ01000002.1,NZ_PEBJ01000004.1,NZ_PEBJ01000005.1,NZ_PGLQ01000003.1,NZ_PGLQ01000006.1
NC_004337.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_007606.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
