Name,Taxon ID,Type,Reference ID,GI ID
Enterobacter cloacae,550,species,NZ_CYTA01000078.1,935542672
Alcaligenes faecalis,511,species,NZ_CYTB01000003.1,935718591
Escherichia coli,562,species,NZ_CYUC01000001.1,935735804
Escherichia coli,562,species,NZ_CYUC01000002.1,935735826
Escherichia coli,562,species,NZ_CYUC01000003.1,935735845
Escherichia coli,562,species,NZ_CYUC01000005.1,935735869
Escherichia coli,562,species,NZ_CYUC01000006.1,935735879
Escherichia coli,562,species,NZ_CYUC01000007.1,935735892
Escherichia coli,562,species,NZ_CYUC01000008.1,935735913
Escherichia coli,562,species,NZ_CYUC01000010.1,935735938
Escherichia coli,562,species,NZ_CYUC01000011.1,935735944
Escherichia coli,562,species,NZ_CYUC01000012.1,935735957
Escherichia coli,562,species,NZ_CYUC01000013.1,935735974
Escherichia coli,562,species,NZ_CYUC01000014.1,935735983
Escherichia coli,562,species,NZ_CYUC01000015.1,935735993
Escherichia coli,562,species,NZ_CYUC01000016.1,935736005
Escherichia coli,562,species,NZ_CYUC01000019.1,935736023
Escherichia coli,562,species,NZ_CYUC01000025.1,935736057
